USAF	WBAN	ICAO	STATION
720284	4877	KFPK	FITCH H BEACH AIRPORT
720285	3734	KFYJ	MIDDLE PENINSULA REGIONAL AIRPORT
720287	53967	KGYI	GRAYSON COUNTY AIRPORT
720288	3711	KHNZ	HENDERSON-OXFORD AIRPORT
720298	53971	KJSO	CHEROKEE COUNTY AIRPORT
720299	53966	KJWY	MID-WAY REGIONAL AIRPORT
720301	63846	KJYL	PLANTATION AIRPARK
720301	99999	KJYL	PLANTATION AIRPARK
720303	53973	KLHB	HEARNE MUNICIPAL AIRPORT
720304	64752	KLOM	WINGS FIELD AIRPORT
720305	53964	KLUD	DECATUR MUNICIPAL AIRPORT
720308	4992	KMLE	MILLARD AIRPORT
720312	4964	KPEA	PELLA MUNICIPAL AIRPORT
720313	3052	KPPA	PERRY LEFORS FIELD AIRPORT
720317	3735	KRMN	STAFFORD REGIONAL AIRPORT
720318	53965	KRPH	GRAHAM MUNICIPAL AIRPORT
720319	63841	KRSV	ROBINSON MUNICIPAL AIRPORT
720320	53981	KCPT	CLEBURNE MUNICIPAL AIRPORT
720321	4893	KSLH	CHEBOYGAN COUNTY AIRPORT
720322	4129	KSZT	SANDPOINT AIRPORT
720324	64753	KUKT	QUAKERTOWN AIRPORT
720326	4981	KVTI	VINTON VETERANS MEMORIAL AIRPARK AIRPORT
720327	4995	KLUM	MENOMONIE MUNICIPAL AIRPORT-SCORE FIELD
720328	63832	KW22	UPSHUR COUNTY RGNL AIRPORT
720330	63853	KAJG	MOUNT CARMEL MUNICIPAL AIRPORT
720333	53175	KAJO	CORONA MUNICIPAL AIRPORT
720334	93764	KGAI	GAITHERSBURG MONTGOMERY COUNTY AIR PARK
720334	99999	KGAI	MONTGOMERY CO AIRPARK
720339	121	KRYN	RYAN FIELD AIRPORT
720340	54818	KFKS	FRANKFORT DOW MEMORIAL FIELD AIRPORT
720342	53947	KJWG	WATONGA AIRPORT
720343	54852	KPCZ	WAUPACA MUNICIPAL AIRPORT
720344	54920	KCKP	CHEROKEE MUNICIPAL AIRPORT/
720345	94086	KPNA	RALPH WENZ FIELD AIRPORT
720346	53991	KACP	ALLEN PARISH AIRPORT
720347	63877	K3J7	GREENE COUNTY REGIONAL AIRPORT
720348	63886	KMLJ	BALDWIN COUNTY AIRPORT
720351	54919	KOOA	OSKALOOSA MUNICIPAL AIRPORT
720353	63875	K1A6	MIDDLESBORO-BELL COUNTY AIRPORT
720354	63901	KAXS	ALTUS/QUARTZ MOUNTAIN REGIONAL AIRPORT
720355	3732	KCBE	GREATER CUMBERLAND REGIONAL AIRPORT
720356	13999	KCLK	CLINTON REGIONAL AIRPORT
720357	53993	KCUH	CUSHING MUNICIPAL AIRPORT
720358	53999	KRQO	EL RENO REGIONAL AIRPORT
720359	23902	KSRE	SEMINOLE MUNICIPAL AIRPORT
720362	63874	KPRN	MAC CRENSHAW MEMORIAL AIRPORT
720363	63872	KEUF	WEEDON FIELD AIRPORT
720365	99999	KBOK	BROOKINGS AIRPORT
720368	54924	KDVP	SLAYTON MUNICIPAL AIRPORT
720369	4135	KDIJ	DRIGGS-REED MEMORIAL AIRPORT
720371	54850	KHAI	HREE RIVERS MUNICIPAL DR HAINES AIRPORT
720373	92824	KPCM	PLANT CITY MUNICIPAL AIRPORT
720374	92825	KTPF	PETER O KNIGHT AIRPORT
720375	54844	KDRM	DRUMMOND ISLAND AIRPORT
720379	63882	KEKQ	WAYNE COUNTY AIRPORT
720381	63885	KJKA	JACK EDWARDS AIRPORT
720383	53847	KNDZ	WHITING FIELD NAVAL AIR STATION-SOUTH
720384	124	KW29	BAY BRIDGE AIRPORT
720386	125	KBDH	WILLMAR MUNICIPAL AIRPORT JOHN L RICE FIELD
720388	469	KPLU	PIERCE COUNTY AIRPORT THUN FIELD
720391	127	KBEA	BEEVILLE MUNICIPAL AIRPORT
720392	128	KHOE	HOMERVILLE AIRPORT
720393	129	KHRX	HEREFORD MUNICIPAL AIRPORT
720394	428	KADF	DEXTER B FLORENCE MEMORIAL FIELD AIRPORT
720395	130	KPEZ	PLEASANTON MUNICIPAL AIRPORT
720397	131	KUNI	OHIO UNIVERSITY AIRPORT SNYDER FIELD
720401	133	KCCA	CLINTON MUNICIPAL AIRPORT
720403	99999	KT47	KICKAPOO DOWNTOWN AIRPARK
720404	134	KCWC	KICKAPOO DOWNTOWN AIRPORT
720404	99999	KCWC	KICKAPOO DOWNTOWN AIRPORT
720405	99999	KBTA	BLAIR MUNI AIRPORT
720406	135	KDVO	GNOSS FIELD AIRPORT
720406	99999	KDVO	GNOSS FIELD AIRPORT
720407	99999	KMJX	ROBERT J MILLER AIRPARK
720408	136	KMQS	CHESTER COUNTY GO CARLSON AIRPORT
720408	99999	KMQS	COATESVILLE/CARLSON AIRPORT
720409	99999	KDZJ	BLAIRSVILLE AIRPORT
720412	54943	KPRO	PERRY MUNICIPAL AIRPORT
720413	138	K1M4	POSEY FIELD AIRPORT
720414	139	K4I3	KNOX COUNTY AIRPORT
720415	140	KFFX	FREMONT MUNICIPAL AIRPORT
720422	3037	KCBK	SHALTZ FIELD AIRPORT
720426	141	KIDP	INDEPENDENT MUNICIPAL AIRPORT
720426	99999	KIDP	INDEPENDENCE MUNICIPAL AIRPORT
720436	142	KPTS	ATKINSON MUNICPAL AIRPORT
720437	143	KSYF	CHEYENNE COUNTY MUNICIPAL AIRPORT
720447	437	KCEY	KYLE OAKLEY FIELD AIRPORT
720448	144	KDVK	STUART POWELL FIELD AIRPORT
720452	99999	KFGX	FLEMING/MASON AIRPORT
720456	146	KIOB	MOUNT STERLING MONTGOMERY COUNTY AIRPORT
720467	148	KBXA	GEORGE R CARR MEMORIAL AIR FIELD
720467	99999	KBXA	GEORGE R CARR MEM AIR FLD
720476	455	KHAE	HANNIBAL REGIONAL AIRPORT
720492	151	KCDA	CALEDONIA COUNTY AIRPORT
720492	99999	KCDA	CALEDONIA COUNTY AIRPORT
720494	152	KFSO	FRANKLIN COUNTY STATE AIRPORT
720494	99999	KFSO	FRANKLIN CO AIRPORT
720498	153	KFCI	CHESTERFIELD COUNTY AIRPORT
720498	99999	KFCI	CHESTERFIELD AIRPORT
720499	154	KPVG	HAMPTON ROADS EXECUTIVE AIRPORT
720499	99999	KPVG	HAMPTON ROADS EXECUTIVE AIRPORT
720501	155	KXSA	TAPPAHANNOCK ESSEX COUNTY AIRPORT
720501	99999	KXSA	ESSEX CO AIRPORT
720505	156	KJFX	WALKER COUNTY AIRPORT BEVILL FIELD
720517	24165	KEMM	KEMMERER MUNICIPAL AIRPORT
720518	449	KFBR	FORT BRIDGER AIRPORT
720518	99999	KFBR	FORT BRIDGER AIRPORT
720521	475	KSAA	SHIVELY FIELD AIRPORT
720522	443	KDUB	DUBOIS MUNICIPAL AIRPORT
720522	99999	KDUB	DUBOIS MUNI AIRPORT
720529	429	KAIB	HOPKINS FIELD AIRPORT
720532	159	KANK	HARRIET ALEXANDER FIELD AIRPORT
720533	99999	KBDU	BOULDER MUNICIPAL AIRPORT
720535	162	KFMM	FORT MORGAN MUNICIPAL AIRPORT
720538	164	KLMO	VANCE BRAND AIRPORT
720538	99999	KLMO	VANCE BRAND AIRPORT
720542	99999	KRYW	LARGO VISTA / RUSTY ALLEN AIRPORT
720543	167	KGWB	DE KALB COUNTY AIRPORT
720544	168	KSTK	STERLING MUNICIPAL AIRPORT
720545	169	KSNC	CHESTER AIRPORT
720545	99999	KSNC	CHESTER AIRPORT
720549	99999	KCXP	CARSON CITY AIRPORT
720551	99999	KMEV	MINDEN TAHOE AIRPORT
720559	172	KHHW	STAN STAMPER MUNICIPAL AIRPORT
720567	24180	KBMC	BRIGHAM CITY AIRPORT
720575	173	KTYQ	INDIANAPOLIS EXECUTIVE AIRPORT
720576	174	KEDU	UNIVERSITY AIRPORT
720577	175	KRFI	RUSK COUNTY AIRPORT
720577	99999	KRFI	HENDERSON/RUSK COUNTY AIRPORT
720581	178	KLDJ	LINDEN AIRPORT
720584	181	KAPY	ZAPATA COUNTY AIRPORT
720586	183	KPVB	PLATTEVILLE MUNICIPAL AIRPORT
720587	99999	KIYA	CHRIS CRUSTA MEMORIAL AIRPORT / ABBEVILLE
720589	185	KEZS	SHAWANO MUNICIPAL AIRPORT
720592	99999	KCQF	FAIRHOPE/SONNY CALLAHAN AIRPORT
720596	189	KEOE	NEWBERRY COUNTY AIRPORT
720597	190	KLUX	LAURENS COUNTY AIRPORT
720598	191	KMKS	BERKELEY COUNTY AIRPORT
720601	193	KAIK	AIKEN MUNICIPAL AIRPORT
720602	194	KBNL	BARNWELL REGIONAL AIRPORT
720603	195	KCDN	WOODWARD FIELD AIRPORT
720606	198	KJZI	CHARLESTON EXECUTIVE AIRPORT
720608	200	KMAO	MARION COUNTY AIRPORT
720609	201	KRBW	LOWCOUNTRY REGIONAL AIRPORT
720611	202	KSMS	SUMTER AIRPORT
720612	203	KARW	BEAUFORT COUNTY AIRPORT
720613	204	KHYW	CONWAY HORRY COUNTY AIRPORT
720614	205	KLHM	LINCOLN REGIONAL AIRPORT KARL HARDER FIELD
720615	206	KO22	COLUMBIA AIRPORT
720616	207	KBBG	BRANSON AIRPORT
720616	99999	KBBG	BRANSON AIRPORT
720617	208	KTME	HOUSTON EXECUTIVE AIRPORT
720624	211	KMDS	MADISON MUNICIPAL AIRPORT
720625	212	KBKN	BLACKWELL TONKAWA MUNICIPAL AIRPORT
720626	213	KBPC	PAMPA MESA VISTA AIRPORT
720627	214	KGZL	STIGLER REGIONAL AIRPORT
